NUMBER	COMPONENT	MOLE WT	FREEZE	BOILING	CRITICAL	CRITICAL	CRITICAL 	CRITICAL	ACENTRIC	LIQ DEN	REF T FOR	DIPOLE		VAPOR HEAT CAPACITY			   LIQUID VISCOSITY		STD HEAT	STD ENERGY	    ANTOINE VAPOR PRESSURE EQN			VAP PRESS	VAP PRESS		HARLACHER VAPOR PRESSURE EQN			HEAT VAPOR
410	CIS-DECALIN	138,254 	230,0 	468,9 	702,2 	31,0 	0,0 	0,000 	0,230 	0,897 	293,0 	0,0 	-26,8600 	2,671E-01 	-1,578E-04 	3,432E-08 	0,00 	0,00 	-40,38	20,51	15,8312 	3671,61 	-69,74 	495	368	0,000 	0,00 	0,000 	0,000 	9400
411	TRANS-DECALIN	138,254 	242,8 	460,4 	690,0 	31,0 	0,0 	0,000 	0,270 	0,870 	293,0 	0,0 	-23,3280 	2,495E-01 	-1,308E-04 	2,145E-08 	702,27 	339,66 	-43,57	17,55	15,7989 	3610,66 	-66,49 	470	363	0,000 	0,00 	0,000 	0,000 	9200
412	CAPRYLONITRILE	153,269 	255,3 	516,0 	622,0 	32,1 	0,0 	0,000 	0,000 	0,820 	293,0 	0,0 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	0	0	0,0000 	0,00 	0,00 	0	0	0,000 	0,00 	0,000 	0,000 	0
413	N-BUTYLCYCLOHEXANE	140,270 	198,4 	454,1 	667,0 	31,1 	0,0 	0,000 	0,362 	0,799 	293,0 	0,0 	-15,0370 	2,582E-01 	-1,506E-04 	3,344E-08 	598,30 	311,39 	-50,95	13,49	15,9116 	3542,57 	-72,32 	485	332	0,000 	0,00 	0,000 	0,000 	9200
414	ISOBUTYLCYCLOHEXANE	140,270 	0,0 	444,5 	659,0 	30,8 	0,0 	0,000 	0,319 	0,795 	293,0 	0,0 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	0	0	15,8141 	3437,99 	-69,99 	455	355	0,000 	0,00 	0,000 	0,000 	0
415	SEC-BUTYLCYCLOHEXANE	140,270 	0,0 	452,5 	669,0 	26,4 	0,0 	0,000 	0,264 	0,813 	293,0 	0,0 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	0	0	15,8670 	3524,57 	-70,78 	470	360	0,000 	0,00 	0,000 	0,000 	0
416	TERT-BUTYLCYCLOHEXANE	140,270 	232,0 	444,7 	659,0 	26,3 	0,0 	0,000 	0,252 	0,813 	293,0 	0,0 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	0	0	15,7884 	3457,85 	-67,04 	450	357	0,000 	0,00 	0,000 	0,000 	0
417	1-DECENE	140,270 	206,9 	443,7 	615,0 	21,8 	650,0 	0,280 	0,491 	0,741 	293,0 	0,0 	-1,1140 	2,168E-01 	-1,208E-04 	2,616E-08 	518,37 	277,80 	-29,67	28,93	16,0129 	3448,18 	-76,09 	460	356	73,938 	-8380,48 	-7,950 	9,900 	9240
418	N-DECANE	142,286 	243,5 	447,3 	617,6 	20,8 	603,0 	0,247 	0,490 	0,730 	293,0 	0,0 	-1,8900 	2,295E-01 	-1,263E-04 	2,701E-08 	558,61 	288,37 	-59,67	7,94	16,0114 	3456,80 	-78,67 	476	330	75,475 	-8563,64 	-8,149 	10,200 	9388
419	3,3,5-TRIMETHYLHEPTANE	142,286 	0,0 	428,8 	609,6 	22,9 	0,0 	0,000 	0,388 	0,000 	0,0 	0,0 	-16,8080 	2,943E-01 	-2,065E-04 	5,864E-08 	0,00 	0,00 	-61,8	8,02	15,7848 	3305,20 	-67,66 	458	313	0,000 	0,00 	0,000 	0,000 	8760
420	2,2,3,3-TETRAMETHYLHEPTANE	142,286 	0,0 	433,5 	623,1 	24,8 	0,0 	0,000 	0,360 	0,000 	0,0 	0,0 	-14,0520 	2,941E-01 	-2,110E-04 	6,174E-08 	0,00 	0,00 	0	0	15,7598 	3371,05 	-64,09 	463	314	0,000 	0,00 	0,000 	0,000 	8690
421	2,2,5,5-TETRAMETHYLHEPTANE	142,286 	0,0 	410,6 	581,5 	21,6 	0,0 	0,000 	0,374 	0,000 	0,0 	0,0 	-14,8900 	2,973E-01 	-2,139E-04 	6,253E-08 	0,00 	0,00 	0	0	15,8446 	3172,92 	-66,15 	438	300	0,000 	0,00 	0,000 	0,000 	8430
422	1-DECANOL	158,285 	280,1 	503,4 	700,0 	22,0 	600,0 	0,230 	0,000 	0,830 	293,0 	1,8 	3,4800 	2,137E-01 	-9,365E-05 	8,242E-09 	1481,80 	380,00 	-96	-24,9	15,9395 	3389,43 	-139,00 	503	376	0,000 	0,00 	0,000 	0,000 	12000
423	1-METHYLNAPHTHALENE	142,201 	242,7 	517,8 	772,0 	35,2 	445,0 	0,250 	0,334 	1,020 	293,0 	0,5 	-15,4820 	2,242E-01 	-1,658E-04 	4,814E-08 	862,89 	361,76 	27,93	52,03	16,2008 	4206,70 	-78,15 	551	380	0,000 	0,00 	0,000 	0,000 	11000
424	2-METHYLNAPHTHALENE	142,201 	307,7 	514,2 	761,0 	34,6 	462,0 	0,260 	0,382 	0,990 	313,0 	0,4 	-13,4990 	2,149E-01 	-1,545E-04 	4,395E-08 	695,42 	351,79 	27,75	51,66	16,2758 	4237,37 	-74,75 	548	377	0,000 	0,00 	0,000 	0,000 	11000
425	BUTYL BENZOATE	178,232 	251,0 	523,0 	723,0 	26,0 	561,0 	0,250 	0,580 	1,006 	293,0 	0,0 	-4,1480 	2,072E-01 	-1,101E-04 	1,728E-08 	882,36 	350,34 	0	0	16,3363 	4158,47 	-94,15 	570	390	0,000 	0,00 	0,000 	0,000 	11700
426	N-HEXYLCYCLOPENTANE	154,297 	0,0 	476,3 	660,1 	21,1 	0,0 	0,000 	0,476 	0,000 	0,0 	0,0 	13,9300 	2,694E-01 	-1,561E-04 	3,518E-08 	617,57 	318,65 	-50,07	18,69	16,0140 	3702,56 	-81,55 	507	351	0,000 	0,00 	0,000 	0,000 	9840
427	1-UNDECENE	154,297 	224,0 	465,8 	637,0 	19,7 	0,0 	0,000 	0,518 	0,751 	293,0 	0,0 	-1,3340 	2,395E-01 	-1,338E-04 	2,905E-08 	566,26 	294,89 	-34,6	30,94	16,0412 	3597,72 	-83,41 	496	345	78,295 	-9105,75 	-8,489 	11,460 	9770
428	N-UNDECENE	156,313 	247,6 	469,1 	638,8 	19,4 	660,0 	0,240 	0,535 	0,740 	293,0 	0,0 	-2,0050 	2,517E-01 	-1,385E-04 	2,954E-08 	605,50 	305,01 	-64,6	9,94	16,0541 	3614,07 	-85,45 	498	348	80,121 	-9305,80 	-8,729 	11,750 	9920
429	DIPHENYL	154,212 	342,4 	528,4 	789,0 	38,0 	502,0 	0,295 	0,364 	0,990 	347,0 	0,0 	-23,1840 	2,641E-01 	-2,115E-04 	6,664E-08 	733,87 	369,58 	43,52	66,94	16,6832 	4602,23 	-70,42 	545	343	0,000 	0,00 	0,000 	0,000 	10900
430	DIPHENYL ETHER	170,211 	300,0 	531,2 	766,0 	31,0 	0,0 	0,000 	0,440 	1,066 	303,0 	1,1 	-14,5050 	2,217E-01 	-1,402E-04 	3,245E-08 	1146,00 	379,29 	11,94	0	16,3459 	4310,25 	-87,31 	598	418	0,000 	0,00 	0,000 	0,000 	11260
431	N-HEPTYLCYCLOPENTANE	168,324 	0,0 	497,3 	679,0 	19,2 	0,0 	0,000 	0,515 	0,000 	0,0 	0,0 	14,1550 	2,922E-01 	-1,692E-04 	3,813E-08 	654,77 	333,12 	-55	20,7	16,0589 	3850,38 	-88,75 	529	368	0,000 	0,00 	0,000 	0,000 	10360
432	1-DODECENE	168,324 	238,0 	486,5 	657,0 	18,3 	0,0 	0,000 	0,558 	0,758 	293,0 	0,0 	-1,5630 	2,622E-01 	-1,470E-04 	3,203E-08 	615,67 	310,07 	-39,52	32,96	16,0610 	3729,87 	-90,88 	517	361	82,968 	-9846,99 	-9,073 	13,100 	10270
433	N-DODECENE	170,340 	263,6 	489,5 	658,3 	18,0 	713,0 	0,240 	0,562 	0,748 	293,0 	0,0 	-2,2280 	2,744E-01 	-1,516E-04 	3,246E-08 	631,63 	318,78 	-69,52	11,96	16,1134 	3774,56 	-91,31 	520	364	84,248 	-10012,50 	-9,236 	13,370 	10430
434	DIHEXYL ETHER	186,339 	230,0 	499,6 	657,0 	18,0 	720,0 	0,240 	0,700 	0,794 	293,0 	0,0 	8,0100 	2,564E-01 	-1,322E-04 	4,007E-08 	723,43 	323,35 	0	0	16,3372 	3982,78 	-89,15 	545	373	0,000 	0,00 	0,000 	0,000 	10900
435	DODECANOL	186,339 	297,1 	533,1 	679,0 	19,0 	718,0 	0,240 	0,000 	0,835 	293,0 	1,6 	2,2030 	2,635E+00 	-1,000E+00 	-1,275E+00 	-4,00 	1,86 	-8	1417,8	398,8900 	-105,84 	-20,81 	15,2638	3242,04	-157,100 	580,00 	407,000 	0,000 	0
436	TRIBUTYLAMINE	185,355 	0,0 	486,6 	643,0 	18,0 	0,0 	0,000 	0,000 	0,779 	293,0 	0,8 	1,9090 	2,861E+00 	-1,000E+00 	-1,601E+00 	-4,00 	3,46 	-8	889,06	312,4800 	0,00 	0,00 	16,2878	3865,58	-86,150 	531,00 	362,000 	0,000 	0
437	DIPHENYLMETHANE	168,239 	30537,5 	767,0 	29,4 	0,0 	0,0 	0,000 	0,471 	1,006 	293,0 	0,4 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	0	0	14,4856 	2902,44 	-167,90 	563	473	0,000 	0,00 	0,000 	0,000 	0
438	N-OCTYLCYCLOPENTANE	182,351 	0,0 	516,9 	694,0 	17,7 	0,0 	0,000 	0,564 	0,000 	0,0 	0,0 	-14,3190 	3,145E+00 	-1,000E+00 	-1,818E+00 	-4,00 	4,08 	-8	695,83	346,1900 	-59,92 	22,72 	16,0941	3983,01	-95,850 	549,00 	385,000 	0,000 	0
439	1-TRIDECENE	182,351 	250,1 	505,9 	674,0 	16,8 	0,0 	0,000 	0,598 	0,766 	293,0 	0,0 	-1,7000 	2,845E+00 	-1,000E+00 	-1,594E+00 	-4,00 	3,47 	-8	658,16	323,7100 	-44,45 	34,96 	16,085	3856,23	-97,940 	537,00 	377,000 	88,010 	-10609,4
440	N-TRIDECANE	184,367 	267,8 	508,6 	675,8 	17,0 	780,0 	0,240 	0,623 	0,756 	293,0 	0,0 	-2,4990 	2,974E+00 	-1,000E+00 	-1,651E+00 	-4,00 	3,56 	-8	664,1	332,1000 	-74,45 	13,97 	16,1355	3892,91	-98,930 	540,00 	380,000 	0,000 	0
441	ANTHRACENE	178,234 	489,7 	614,4 	883,0 	0,0 	0,0 	0,000 	0,000 	0,000 	0,0 	0,0 	-14,0870 	2,402E+00 	-1,000E+00 	-1,575E+00 	-4,00 	3,84 	-8	513,28	405,8100 	53,70 	0,00 	17,6701	6492,44	-26,130 	655,00 	490,000 	0,000 	0
442	PHENANTHRENE	178,234 	373,7 	612,6 	878,0 	0,0 	0,0 	0,000 	0,000 	0,000 	0,0 	0,0 	-14,0870 	2,402E+00 	-1,000E+00 	-1,575E+00 	-4,00 	3,84 	-8	0	0,0000 	48,40 	0,00 	16,7187	5477,94	-69,390 	655,00 	450,000 	0,000 	0
443	N-NONYCLYCLOPENTANE	196,378 	0,0 	535,3 	710,5 	16,3 	0,0 	0,000 	0,610 	0,000 	0,0 	0,0 	-14,5240 	3,372E+00 	-1,000E+00 	-1,948E+00 	-4,00 	4,37 	-8	735,19	357,7400 	-64,85 	24,72 	16,1089	4096,3	-103,000 	569,00 	400,000 	0,000 	0
444	1-TERADECENE	196,378 	260,3 	524,3 	689,0 	15,4 	0,0 	0,000 	0,644 	0,786 	273,0 	0,0 	-1,9030 	3,071E+00 	-1,000E+00 	-1,722E+00 	-4,00 	3,75 	-8	697,49	336,1300 	-49,36 	36,99 	16,1643	4018,01	-102,700 	557,00 	392,000 	92,474 	-11329,2
445	N-TETRADECANE	198,394 	279,0 	526,7 	694,0 	16,0 	830,0 	0,230 	0,679 	0,763 	293,0 	0,0 	-2,6230 	3,195E+00 	-1,000E+00 	-1,773E+00 	-4,00 	3,82 	-8	689,85	344,2100 	-79,38 	15,97 	16,148	4008,52	-105,400 	560,00 	394,000 	91,172 	-11322,9
446	N-DECYCLCYCLOPENTANE	210,405 	0,0 	552,5 	723,8 	15,0 	0,0 	0,000 	0,654 	0,000 	0,0 	0,0 	-14,7900 	3,601E+00 	-1,000E+00 	-2,082E+00 	-4,00 	4,68 	-8	771,74	368,3000 	-69,78 	26,73 	16,1261	4203,94	-109,700 	586,00 	413,000 	0,000 	0
447	1-PENTADECENE	210,405 	269,4 	541,5 	704,0 	14,4 	0,0 	0,000 	0,682 	0,791 	273,0 	0,0 	-2,1980 	3,302E+00 	-1,000E+00 	-1,859E+00 	-4,00 	4,07 	-8	739,13	347,4600 	-54,31 	38,97 	16,1539	4103,15	-110,600 	574,00 	406,000 	98,920 	-12205,3
448	N-PENTADECANE	212,421 	283,0 	543,8 	707,0 	15,0 	880,0 	0,230 	0,706 	0,769 	293,0 	0,0 	-2,8460 	3,422E+00 	-1,000E+00 	-1,904E+00 	-4,00 	4,11 	-8	718,51	355,9200 	-84,31 	17,98 	16,1724	4121,51	-111,800 	577,00 	408,000 	95,000 	-11995,6
449	DIBUTYL-O-PHTHALATE	278,350 	238,0 	608,0 	0,0 	0,0 	0,0 	0,000 	0,000 	1,047 	293,0 	0,0 	0,4490 	2,995E+00 	-1,000E+00 	-1,462E+00 	-4,00 	1,67 	-8	2588,1	336,2400 	0,00 	0,00 	16,9539	4852,47	-138,100 	657,00 	469,000 	0,000 	0
450	N-DECYCYCLOHEXANE	224,432 	0,0 	570,8 	750,0 	13,4 	0,0 	0,000 	0,583 	0,000 	0,0 	0,0 	-16,4840 	3,951E+00 	-1,000E+00 	-2,296E+00 	-4,00 	5,12 	-8	925,84	378,6900 	0,00 	0,00 	16,1627	4373,37	-111,800 	573,00 	463,000 	0,000 	0
451	1-HEXADECENE	224,432 	277,3 	558,0 	717,0 	13,2 	0,0 	0,000 	0,721 	0,788 	283,0 	0,0 	-2,3180 	3,523E+00 	-1,000E+00 	-1,982E+00 	-4,00 	4,32 	-8	767,48	357,8500 	-59,23 	40,99 	16,2203	4245	-115,200 	592,00 	420,000 	105,900 	-13117
452	N-HEXADECANE	226,448 	291,0 	560,0 	717,0 	14,0 	0,0 	0,000 	0,742 	0,773 	293,0 	0,0 	-3,1090 	3,652E-01 	-2,039E-04 	4,418E-08 	738,30 	366,11 	-89,23	20	16,1841 	4214,91 	-118,70 	594	423	95,680 	-12411,30 	-10,580 	20,270 	12240
453	N-DODECYCLOPENTANE	238,459 	0,0 	584,1 	750,0 	12,8 	0,0 	0,000 	0,719 	0,000 	0,0 	0,0 	-15,1100 	4,049E-01 	-2,333E-04 	5,220E-08 	853,90 	385,53 	-80,28	30,1	16,1915 	4395,87 	-124,20 	619	441	0,000 	0,00 	0,000 	0,000 	12570
454	HEPTADECANOL	256,474 	327,0 	597,0 	736,0 	14,0 	0,0 	0,000 	0,000 	0,848 	327,0 	0,0 	-1,8610 	3,948E-01 	-2,232E-04 	4,881E-08 	0,00 	0,00 	-130,47	-10,67	15,6161 	3672,62 	-188,10 	656	464	0,000 	0,00 	0,000 	0,000 	14500
455	N-HEPTADECANE	240,475 	295,0 	575,2 	733,0 	13,0 	1000,0 	0,220 	0,770 	0,778 	293,0 	0,0 	-3,3360 	3,879E-01 	-2,169E-04 	4,710E-08 	757,88 	375,90 	-94,15	22,01	16,1510 	4294,55 	-124,00 	610	434	0,000 	0,00 	0,000 	0,000 	12640
456	O-TERPHENYL	230,310 	330,0 	605,0 	891,0 	38,5 	769,0 	0,405 	0,000 	0,000 	0,0 	0,0 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	1094,10 	461,27 	0	0	0,0000 	0,00 	0,00 	0	0	0,000 	0,00 	0,000 	0,000 	0
457	M-TERPHENYL	230,310 	360,0 	638,0 	924,8 	34,6 	784,0 	0,358 	0,000 	0,000 	0,0 	0,0 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	940,58 	460,94 	0	0	0,0000 	0,00 	0,00 	0	0	0,000 	0,00 	0,000 	0,000 	0
458	P-TERPHENYL	230,310 	485,0 	649,0 	926,0 	32,8 	779,0 	0,336 	0,000 	0,000 	0,0 	0,7 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	911,01 	461,10 	0	0	0,0000 	0,00 	0,00 	0	0	0,000 	0,00 	0,000 	0,000 	0
459	1-OCTADECENE	252,486 	290,8 	588,0 	739,0 	11,2 	0,0 	0,000 	0,807 	0,789 	293,0 	0,0 	-2,7060 	3,975E-01 	-2,239E-04 	4,893E-08 	816,19 	376,93 	-69,08	45,01	16,2221 	4416,13 	-127,30 	623	444	0,000 	0,00 	0,000 	0,000 	12970
460	N-TRIDECYLCYCLOPENTANE	252,486 	0,0 	598,6 	761,0 	11,9 	0,0 	0,000 	0,755 	0,000 	0,0 	0,0 	-15,3360 	4,276E-01 	-2,465E-04 	5,516E-08 	891,80 	392,78 	-84,55	32,74	16,2270 	4483,13 	-131,30 	634	453	0,000 	0,00 	0,000 	0,000 	12980
461	N-OCTADECANE	254,502 	301,3 	589,5 	745,0 	11,9 	0,0 	0,000 	0,790 	0,777 	301,0 	0,0 	-3,4560 	4,101E-01 	-2,291E-04 	4,964E-08 	777,40 	385,00 	-99,08	24,02	16,1232 	4361,79 	-129,90 	625	445	0,000 	0,00 	0,000 	0,000 	13020
462	1-OCTADECANOL	270,501 	331,0 	608,0 	747,0 	14,0 	0,0 	0,000 	0,000 	0,812 	332,0 	1,7 	-2,0790 	4,174E-01 	-2,360E-04 	5,153E-08 	0,00 	0,00 	-135,39	-8,65	15,6898 	3757,82 	-193,10 	658	474	0,000 	0,00 	0,000 	0,000 	0
463	N-TETRADECYCLOPENT	266,513 	0,0 	599,0 	772,0 	11,1 	0,0 	0,000 	0,789 	0,000 	0,0 	0,0 	-15,5080 	4,501E-01 	-2,592E-04 	5,794E-08 	924,60 	399,62 	-89,48	34,77	16,2632 	4439,38 	-138,10 	648	465	0,000 	0,00 	0,000 	0,000 	13380
464	N-NONADECANE	268,529 	305,0 	603,1 	756,0 	11,0 	0,0 	0,000 	0,827 	0,789 	305,0 	0,0 	-3,7000 	4,329E-01 	-2,424E-04 	5,267E-08 	793,62 	393,54 	-104	26,03	16,1533 	4450,44 	-135,60 	639	456	0,000 	0,00 	0,000 	0,000 	13390
465	N-PENTADECYLCYCLOPENTANE	280,540 	0,0 	625,0 	780,0 	10,1 	0,0 	0,000 	0,833 	0,000 	0,0 	0,0 	-15,7860 	4,730E-01 	-2,724E-04 	6,090E-08 	950,57 	406,33 	-94,41	36,78	16,3092 	4642,01 	-145,10 	661	476	0,000 	0,00 	0,000 	0,000 	13780
466	N-EICOSANE	282,556 	310,0 	617,0 	767,0 	11,0 	0,0 	0,000 	0,907 	0,775 	313,0 	0,0 	-5,3460 	4,632E-01 	-2,667E-04 	6,039E-08 	811,29 	401,67 	-108,93	28,04	16,4685 	4680,46 	-141,10 	652	471	0,000 	0,00 	0,000 	0,000 	13740
467	1-EICOSANOL	298,555 	339,0 	629,0 	770,0 	12,0 	0,0 	0,000 	0,000 	0,000 	0,0 	0,0 	-3,0050 	4,657E-01 	-2,671E-04 	6,009E-08 	0,00 	0,00 	-145,25	-4,64	15,8233 	3912,10 	-203,10 	679	492	0,000 	0,00 	0,000 	0,000 	15600
468	N-HEXADECYLCYCLOPENTANE	294,567 	0,0 	637,0 	791,0 	9,6 	0,0 	0,000 	0,861 	0,000 	0,0 	0,0 	-15,9270 	4,954E-01 	-2,851E-04 	6,373E-08 	977,42 	412,29 	-99,33	38,79	16,3553 	4715,69 	-152,10 	674	488	0,000 	0,00 	0,000 	0,000 	14180
